,NIC,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-07,2022-02-08,2022-02-14,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-27
0,605442307,69823.27125,69834.54125,69848.0475,69861.54,69872.99500000001,69884.43875,69895.7775,69909.82625,69956.3325,0,70046.775,70360.79875,70378.37375,70389.0575,70401.58125,70412.24124999999,70422.99875,70437.18875,70455.45625,70470.99250000001,70543.11624999999,70552.86,70563.40125,70573.8575,70584.13375,70926.52124999999
1,605443194,84229.81999999999,84229.82625,84229.83374999999,84229.84,84229.84749999999,84229.85375,84229.86124999999,84229.86875,84229.89124999999,0,84229.9375,84256.2775,84256.8675,84257.45749999999,84258.04749999999,84258.6375,84259.22624999999,84259.81874999999,84260.40625,84260.99625,84312.15625,84312.15875,84328.61875,84347.75374999999,84364.22125,84784.26125
2,605444971,92301.73125000001,92350.4325,92398.95249999998,92439.05374999999,92483.2575,92529.98375000001,92586.18375,92631.60125,92766.83625000001,0,93064.0875,94325.045,94362.76875,94408.34,94452.95999999999,94496.15125,94544.0675,94589.945,94635.6925,94674.05875,94935.81375,94971.445,95014.2175,95059.60625000001,95102.35999999999,96324.59625
3,605446435,56908.377499999995,56942.575000000004,56976.843125,57003.016875,57034.365625,57065.50625,57095.916875,57131.51625,57226.578125,0,57418.36125,58174.743749999994,58199.125,58230.255625000005,58260.458125,58289.975625,58317.140625,58336.56625,58363.885,58386.176875000005,58544.15125,58557.410625000004,58581.32,58601.158125,58631.19625000001,59398.191875
4,605451409,19.3675,19.3825,19.3975,19.409999999999997,19.421875,19.4375,19.453125,19.466875,19.506875,0,19.603749999999998,19.81875,19.82625,19.835,19.844375,19.855625,19.86875,19.88125,19.895000000000003,19.9075,19.98875,20.001875,20.01625,20.028750000000002,20.041249999999998,20.403750000000002
5,605452286,189553.16,189623.45,189695.31,189751.70500000002,189808.53,189885.99000000002,189956.89,190020.66,190200.6,0,190640.815,192270.91,192322.18,192385.6,192444.29499999998,192517.34,192595.185,192657.265,192721.435,192773.53999999998,193138.94999999998,193192.735,193250.875,193306.82,193362.07,194927.835
6,605453063,263249.325,263249.325,263249.325,263249.33,263249.33,263249.33,263249.33,263249.335,263249.34500000003,0,263249.35500000004,264374.56,264426.265,264480.81,264537.125,264589.515,264641.85,264701.8,264711.325,264719.66000000003,264777.185,264780.705,264784.365,264793.16,264802.025,265007.82999999996
7,605454840,33.276875,33.276875,33.276875,33.276875,33.278125,33.27875,33.27875,33.27875,33.279375,0,33.279375,33.464375,33.47375,33.483125,33.493125,33.5025,33.511874999999996,33.5275,33.5275,33.5275,33.5275,33.5275,33.5275,33.5275,33.5275,33.5275
8,605455527,0,0,0,0,0,0,0,0,0,0,276084.645,279374.94,279481.285,279608.265,279724.405,279843.41500000004,279959.67,280083.52999999997,280207.99000000005,280312.915,280939.645,281005.705,281088.0,281171.815,281265.64,284490.48
9,605456304,0,0,0,0,0,0,0,0,0,0,26435.435625,26435.5775,26435.581875,26435.5875,26435.5925,26435.5975,26435.6025,26435.6075,26435.613125,26435.6175,26435.643750000003,26435.646249999998,26435.649375,26435.653125,26435.656875,26435.793124999997
10,605457191,0,0,0,0,0,0,0,0,0,0,38826.069375,38937.588125,38941.54625,38945.580625,38949.85625,38953.621250000004,38957.5525,38961.275625,38965.979375,38969.69,38992.706875,38995.19437500001,38998.125,39000.858125,39003.70625,39087.550625
