,NIC,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-23,2023-12-24,2023-12-25,2023-12-28,2023-12-29,2023-12-30,2023-12-31,2024-01-01,2024-01-02,2024-01-09,2024-01-10,2024-01-20,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-03-07
0,605442307,80891.37875,80901.23125,80932.88625,80958.9475,80987.34,81093.125,81126.995,81159.5775,81229.6775,81255.6175,81285.70999999999,81317.05625,81342.62125,81343.62625,81602.095,81618.9675,81737.5575,81771.32,81789.7375,81805.44375,81821.13124999999,81841.6875,81863.06375,81884.14624999999,81900.37125,81919.77625,81941.63375,81961.18625,82130.50875000001,82152.6375,82165.27875,82180.55625,82194.39875,82205.37125,82218.815,82240.56,82261.32875,82278.48875,82294.93,82314.4725,82329.57375,82347.3725,82369.4125,82388.51000000001,82406.08625,82423.51125,82549.64
1,605443194,90518.3875,90518.39499999999,90518.4175,90518.4375,90518.45874999999,90518.53625,90518.55875,90518.57875,90518.61499999999,90518.63249999999,90518.6525,90518.67375,90518.69,90518.69,90518.89125,90518.90625,90519.01375,90519.04625,90519.0625,90519.08,90519.095,90519.11374999999,90519.13249999999,90519.15,90519.165,90519.18625,90519.205,90519.2225,90519.37375,90519.39,90519.40625,90519.4225,90519.43875,90519.4525,90519.4675,90519.485,90519.50125,90519.51874999999,90519.53874999999,90519.55875,90519.57375,90519.59375,90519.615,90519.63125,90519.65,90519.66875,90519.81125
2,605444971,123968.20999999999,124000.52875,124098.1325,124188.29125000001,124273.56625,124616.59,124717.35874999998,124798.61249999999,124933.84875,125007.45499999999,125077.64,125155.87625,125224.83375,125226.7425,125916.6525,125978.11125,126449.50125,126592.69875000001,126665.73625,126741.17499999999,126808.0375,126886.27124999999,126970.42000000001,127052.05500000001,127118.29125,127218.375,127305.7075,127385.04750000002,128061.30374999999,128126.67250000002,128204.88625,128282.34875,128358.64875,128430.7875,128508.125,128584.23000000001,128655.42124999998,128731.73000000001,128819.68,128918.46125,128971.07375000001,129050.36374999999,129135.53375,129205.905,129284.78999999998,129364.5075,129988.44
3,605446435,73205.420625,73212.13125,73235.7425,73254.971875,73277.54125,73352.73999999999,73372.19750000001,73387.25875000001,73424.26312500001,73445.34875,73470.385625,73494.50875000001,73509.72625,73511.723125,73762.585625,73784.555625,73923.764375,73967.498125,73989.43000000001,74012.199375,74033.91125,74055.9875,74077.61562499999,74098.59874999999,74116.57187500001,74141.01875,74164.41625,74187.270625,74378.28499999999,74396.54875,74418.186875,74438.92,74460.12250000001,74477.59625,74498.92812499999,74518.16437500001,74537.343125,74560.475,74586.23000000001,74606.91625,74623.450625,74649.35875,74673.6975,74695.35062499999,74721.29874999999,74746.303125,74943.779375
4,605447212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76446.90062500001,0
5,605448009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35359.990625000006,0
6,605449886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175376.90000000002,0
7,605450612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246329.905,0
8,605451409,989578.86875,989578.86875,989578.86875,989578.86875,989578.86875,989578.95,989578.95,989578.95,989578.95,989578.95,989579.03,989579.03,989579.030625,989579.0325,989579.1131249999,989579.1131249999,989579.1131249999,989579.1131249999,989579.1931249999,989579.1931249999,989579.1931249999,989579.1931249999,989579.1931249999,989579.1931249999,989579.1931249999,989579.1931249999,989579.1931249999,989579.1931249999,989579.28,989579.28125,989579.281875,989579.2825,989579.2825,989579.28375,989579.285625,0,989579.28625,989579.28625,989579.286875,989579.286875,0,0,0,0,0,989579.288125,989579.3781249999
9,605452286,226271.435,226309.36000000002,226413.40000000002,226513.69,226621.405,227058.535,227171.45,227271.7,227566.66499999998,227663.63,227762.52500000002,227864.12,227962.745,227993.745,229017.38,229113.985,229732.325,229915.37,230006.615,230100.325,230203.10499999998,230298.33500000002,230406.30500000002,230508.27500000002,230595.675,230689.70500000002,230787.70500000002,230884.37,231887.805,231977.34,232080.77500000002,232176.625,232279.15500000003,232384.195,232498.78000000003,0,232704.46,232802.76,232914.02000000002,233012.19,0,0,0,0,0,233034.54499999998,233801.225
10,605453063,286497.65,286529.66000000003,286606.695,286684.32,286755.985,287041.935,287125.855,287197.855,287385.255,287454.32499999995,287529.515,287605.495,287659.23,287660.22,288354.68,288420.365,288827.005,288952.685,289018.715,289085.045,289149.695,289214.675,289286.725,289357.81,289418.95,289489.365,289560.51,289633.935,290193.70499999996,290239.675,290297.5,290353.11,290418.1,290467.53,290524.51,0,290649.22,290720.22,290785.075,290850.16500000004,0,0,0,0,0,290858.42,291322.185
11,605454840,37.974375,37.981875,38.0,38.018125000000005,38.035,38.100625,38.120625000000004,38.1375,38.181250000000006,38.197500000000005,38.214375000000004,38.231875,38.244375,38.244375,38.40625,38.42125,38.51625,38.545625,38.56125,38.576875,38.5925,38.608125,38.625,38.641875,38.65625,38.6725,38.68875,38.705625,38.835625,38.845625,38.85875,38.87125,38.886875,38.898125,38.911249999999995,0,38.941250000000004,38.957499999999996,38.973124999999996,38.98875,0,0,0,0,0,38.99,39.101875
12,605455527,349948.94,349999.42500000005,350152.10000000003,350285.245,350420.265,350980.13,351150.67,351290.445,351660.36,351787.565,351930.03500000003,352054.13,352127.295,352127.295,353372.88,353447.92,354106.0,354307.95,354439.59,354573.02,354698.79999999993,354839.31,354993.29000000004,355127.01,355238.9,355369.5,355493.94000000006,355618.52999999997,356854.13999999996,356974.82,357110.5,357244.89,357391.74,357516.76999999996,357659.38,357798.88,357923.83,358065.18,358202.77,358337.7,358424.95999999996,358572.0,358720.46,358840.31,358979.16000000003,359113.43,360191.61
13,605456304,26438.711875,26438.714374999996,26438.72125,26438.7275,26438.73375,26438.759375,26438.766875,26438.773125,26438.790625,26438.796875,26438.803125,26438.808749999997,26438.8125,26438.814375,26438.872499999998,26438.87625,26438.906875,26438.91625,26438.9225,26438.92875,26438.934374999997,26438.940625,26438.9475,26438.95375,26438.958749999998,26438.964999999997,26438.970625,26438.97625,26439.035000000003,26439.04,26439.04625,26439.051875,26439.058125,26439.06375,26439.070625,26439.076875,26439.0825,26439.088750000003,26439.095,26439.10125,26439.1075,26439.115,26439.12125,26439.126875,26439.133125,26439.139375000002,26439.188125
