,NIC,2024-03-07,2024-03-08,2024-03-09,2024-03-10,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-03-30,2024-03-31,2024-04-01,2024-04-11,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30,2024-05-01,2024-05-02,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-18,2024-05-19,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,2024-05-28
0,605442307,82549.64,82567.8275,82586.75875000001,82606.26125,82622.12875,82641.38375000001,82655.1825,82674.25625,82687.6275,82703.39749999999,0,82742.63,82759.30875,82772.60875,0,0,82822.73625,82840.50875000001,82865.5625,82893.25375,82917.14749999999,82936.785,82956.80375,82969.08,82987.65625,0,83172.83750000001,83186.34999999999,0,83214.685,83241.94499999999,83262.94,0,83292.88375,83308.3975,83333.39624999999,83344.46625,0,83379.85375,83392.07375,83403.9025,83416.09125,83431.22875,83450.19875,83466.53874999999,83480.98125000001,83492.09375,83507.02249999999,83519.9025,83551.61875,0,83588.43875,83602.34125,83615.25,83628.7225,83641.09125,83657.86624999999,83681.6675,83704.945,83721.61375,83735.38,83779.89875000001,83795.99875,83811.86625,83824.87375,83842.89,83858.105,83881.11125,83906.54000000001,83921.81625,83940.57499999998,83955.51875
1,605443194,90519.81125,90519.83,90519.84875,90519.865,90519.8825,90519.90000000001,90519.92,90519.945,90519.96250000001,90519.97875000001,0,90520.01625,90520.035,90520.05375,0,0,90520.11375,90520.1325,90520.15250000001,90520.1725,90520.19375,90520.28000000001,90520.39375,90520.40375,90520.82,0,90529.73875,90530.25625,0,90531.39875,90532.51625,90533.04875000002,0,90534.40874999999,90535.31,90536.16125,90539.06625000002,0,90545.77875,90548.76375,90551.17375,90555.915,90563.53375,90570.96125000001,90572.27125,90576.14749999999,90588.18125,90614.43375,90646.9925,90716.77125,0,90773.13125,90802.17624999999,90830.70375,90858.47875000001,90880.39375,90909.02249999999,90941.15375,90969.925,90999.5225,91034.94875,91132.35500000001,91171.5875,91202.50749999999,91239.64249999999,91279.11375,91309.85375000001,91345.32500000001,91374.58875,91400.72625,91424.19124999999,91454.04874999999
2,605444971,129988.44,130077.35625,130154.6625,130229.02249999999,130300.90375,130371.79875000002,130486.39749999999,130612.2875,130694.05124999999,130770.36249999999,0,130924.71375,131005.25,131105.1925,0,0,131349.36,131433.32875,131505.02375,131578.56375,131657.26499999998,131733.725,131800.1325,131866.4525,131941.11,0,132712.96875,132750.92,0,132873.67750000002,132959.93625,133030.25875,0,133196.3325,133269.46,133354.27,133428.185,0,133572.4975,133633.03749999998,133698.87,133751.66749999998,133819.6275,133895.8775,133977.47749999998,134043.48249999998,134115.60499999998,134191.08,134256.1675,134405.285,0,134539.7775,134605.38,134681.2225,134749.39500000002,134807.77250000002,134873.615,134952.23,135023.5875,135092.46250000002,135160.31,135358.6975,135430.7525,135494.8725,135565.9375,135635.5225,135702.13,135773.48,135843.54249999998,135905.15,135959.65,136030.86250000002
3,605446435,74943.779375,74968.05,74993.905625,75014.733125,75037.11624999999,75061.96125000001,75085.27875,75110.11125,75134.08375,75152.905625,0,75200.520625,75224.9125,75246.293125,0,0,75323.160625,75347.186875,75369.16875,75390.984375,75415.964375,75439.513125,75461.71875,75463.684375,75493.94750000001,0,75724.92499999999,75739.04375,0,75775.314375,75802.44125,75823.415625,0,75874.568125,75896.769375,75920.1375,75942.164375,0,75985.47687500001,76006.293125,76026.52,76044.82125,76064.59749999999,76087.739375,76109.25875000001,76126.5525,76146.91437500001,76168.55437499999,76188.7475,76237.704375,0,76277.830625,76298.58875,76321.32062500001,76342.7825,76361.34625,76381.421875,76402.5775,76421.270625,76440.48125,76463.02625,76528.1325,76552.25624999999,76574.29625,76599.640625,76621.47125,76642.694375,76666.67874999999,76687.84625,76708.773125,76724.125,76746.71437500001
4,605447212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.925625000000004,53.9525,53.974375,54.015625,54.05625,54.091874999999995,54.1325,54.17875,54.223124999999996,54.25,54.276875000000004,54.36,54.394375000000004,54.444375,54.4875,54.5325,54.575,54.620625000000004,54.66375,54.704375,54.745,54.74875
5,605448009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113278.6575,113278.69,113278.8025,113278.9075,113279.0125,113279.0975,113279.205,113279.3125,113279.405,113279.5,113279.60500000001,113279.925,113280.0325,113280.1275,113280.23250000001,113280.3425,113280.4475,113280.5575,113280.66500000001,113280.76249999998,113280.85500000001,113280.9725
6,605449886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215105.58500000002,215127.365,215152.43,215230.345,215306.16999999998,215367.165,215448.84999999998,215530.97999999998,215595.625,215662.89,215737.61,215969.74,216047.14,216116.09,216193.3,216276.21000000002,216354.595,216437.83000000002,216516.08,216585.97500000003,216649.05000000002,216723.56
7,605450612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214702.175,214757.52500000002,214809.13,214859.15999999997,214908.07,214956.40999999997,215004.41,215058.84000000003,215116.87,215163.195,215207.31,215340.46000000002,215390.65999999997,215450.27999999997,215503.53499999997,215556.28,215607.66999999998,215663.71000000002,215715.58000000002,215766.28499999997,215815.755,215815.86
8,605451409,989579.3781249999,0,989579.38,989579.381875,989579.3825,989579.3825,989579.4625,989579.4625,989579.4625,989579.4625,989579.4625,989579.4625,989579.4625,989579.46375,989579.46375,989579.545,989579.545,989579.545,989579.545,989579.545,989579.545625,989579.545625,989579.545625,989579.545625,989579.545625,989579.546875,989579.7075,989579.7075,989579.7075,989579.7075,989579.7075,989579.7075,0,989579.7075,989579.708125,989579.788125,989579.788125,0,989579.789375,989579.789375,989579.789375,989579.79,989579.79,989579.87,989579.87,989579.87125,989579.87125,989579.87125,989579.87125,989579.95125,989579.95125,989579.95125,989579.95125,989579.95125,989580.03125,989580.03125,989580.03125,989580.03125,989580.03125,989580.111875,989580.111875,989580.111875,989580.191875,989580.191875,989580.191875,989580.191875,989580.1925,989580.1925,989580.1925,989580.2725,989580.2737499999,989580.2737499999
9,605452286,233801.225,0,234001.575,234107.26999999996,234196.69,234293.365,234386.825,234483.59499999997,234586.42500000002,234685.72,234782.985,234874.565,234969.05000000002,235063.83999999997,235153.41999999998,235243.195,235345.38499999998,235446.39500000002,235537.27000000002,235630.14,235725.515,235825.28999999998,235918.76,236007.8,236108.115,236204.48,237116.53000000003,237158.06,237202.5,237293.395,237386.53499999997,237469.845,0,237653.71999999997,237744.08500000002,237830.83000000002,237926.345,0,238106.46000000002,238196.215,238282.70500000002,238381.445,238478.575,238574.375,238669.90999999997,238751.25,238848.825,238937.39500000002,239019.06,239208.16499999998,239303.66,239390.41999999998,239482.0,239572.28500000003,239663.39,239762.16,239863.63999999998,239959.81999999998,240045.01499999998,240139.88499999998,240232.44499999998,240511.655,240607.61000000002,240693.71000000002,240784.53999999998,240875.46000000002,240967.15499999997,241054.555,241150.84500000003,241247.055,241333.9,241426.515
10,605453063,291322.185,0,291448.29000000004,291504.935,291560.815,291627.375,291690.16000000003,291769.95,291832.055,291901.64,291974.065,292036.39,292103.62,292167.675,292234.15,292297.485,292364.71,292431.495,292490.135,292551.855,292615.355,292677.695,292736.19,292791.10000000003,292855.675,292909.885,293549.415,293580.215,293615.635,293686.8,293757.88,293814.995,0,293946.585,294001.78500000003,294065.665,294128.1,0,294249.03500000003,294307.595,294367.425,294426.82,294490.08999999997,294555.93,294621.81,294675.395,294734.605,294798.865,294856.08,294981.93,295046.365,295101.02999999997,295161.08,295233.95,295296.26,295356.95499999996,295427.05,295502.025,295562.045,295623.24,295683.755,295870.855,295934.62,295993.84500000003,296062.40499999997,296124.29000000004,296178.03500000003,296239.855,296304.67500000005,296365.065,296419.07,296482.45499999996
