,NIC,2024-04-29,2024-04-30,2024-05-01,2024-05-02,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-18,2024-05-19,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28
0,605442307,83480.98125000001,83492.09375,83507.02249999999,83519.9025,83551.61875,0,83588.43875,83602.34125,83615.25,83628.7225,83641.09125,83657.86624999999,83681.6675,83704.945,83721.61375,83735.38,83779.89875000001,83795.99875,83811.86625,83824.87375,83842.89,83858.105,83881.11125,83906.54000000001,83921.81625,83940.57499999998,83955.51875,83972.01,83985.385,84000.5625,84018.56375,84046.76624999999,84071.8175,84096.02124999999,84355.27125,84376.12,84392.43875,84417.32875,84439.5725,84462.37125,84482.1575,84503.7775,84530.42375,84553.47374999999,84579.10124999999
1,605443194,90576.14749999999,90588.18125,90614.43375,90646.9925,90716.77125,0,90773.13125,90802.17624999999,90830.70375,90858.47875000001,90880.39375,90909.02249999999,90941.15375,90969.925,90999.5225,91034.94875,91132.35500000001,91171.5875,91202.50749999999,91239.64249999999,91279.11375,91309.85375000001,91345.32500000001,91374.58875,91400.72625,91424.19124999999,91454.04874999999,91486.685,91514.965,91542.53874999999,91572.55125,91606.055,91637.84499999999,91664.69625,92088.01000000001,92121.66375,92145.68375,92187.0925,92221.1575,92252.54625000001,92282.27249999999,92311.225,92344.38875,92375.9875,92408.98875
2,605444971,134043.48249999998,134115.60499999998,134191.08,134256.1675,134405.285,0,134539.7775,134605.38,134681.2225,134749.39500000002,134807.77250000002,134873.615,134952.23,135023.5875,135092.46250000002,135160.31,135358.6975,135430.7525,135494.8725,135565.9375,135635.5225,135702.13,135773.48,135843.54249999998,135905.15,135959.65,136030.86250000002,136112.085,136168.0475,136241.325,136318.305,136400.375,136476.54,136546.635,137612.025,137677.13,137749.4925,137825.535,137903.7575,137980.9,138049.1,138122.035,138200.23249999998,138272.5125,138350.4725
3,605446435,76126.5525,76146.91437500001,76168.55437499999,76188.7475,76237.704375,0,76277.830625,76298.58875,76321.32062500001,76342.7825,76361.34625,76381.421875,76402.5775,76421.270625,76440.48125,76463.02625,76528.1325,76552.25624999999,76574.29625,76599.640625,76621.47125,76642.694375,76666.67874999999,76687.84625,76708.773125,76724.125,76746.71437500001,76770.299375,76786.668125,76809.55000000002,76838.47687500001,76863.93375,76884.56375,76904.571875,77210.86875000001,77227.54500000001,77249.01687499999,77272.34312499998,77294.576875,77311.188125,77330.18125,77351.130625,77376.1875,77401.37937499999,77423.1275
4,605447212,0,0,0,0,0,53.925625000000004,53.9525,53.974375,54.015625,54.05625,54.091874999999995,54.1325,54.17875,54.223124999999996,54.25,54.276875000000004,54.36,54.394375000000004,54.444375,54.4875,54.5325,54.575,54.620625000000004,54.66375,54.704375,54.745,54.74875,54.7525,54.754374999999996,54.758125,54.76125,54.81875,54.881249999999994,54.94,55.65875,55.714375,55.77,55.833125,55.899375,55.958125,56.019375,56.079375,56.143750000000004,56.209375,56.27375000000001
5,605448009,0,0,0,0,0,113278.6575,113278.69,113278.8025,113278.9075,113279.0125,113279.0975,113279.205,113279.3125,113279.405,113279.5,113279.60500000001,113279.925,113280.0325,113280.1275,113280.23250000001,113280.3425,113280.4475,113280.5575,113280.66500000001,113280.76249999998,113280.85500000001,113280.9725,113281.095,113281.185,113281.305,113281.42749999999,113281.54749999999,113281.645,113281.73999999999,113283.2775,113283.3625,113283.4725,113283.5975,113283.72,113283.84,113283.95999999999,113284.08249999999,113284.205,113284.33000000002,113284.4575
6,605449886,0,0,0,0,0,215105.58500000002,215127.365,215152.43,215230.345,215306.16999999998,215367.165,215448.84999999998,215530.97999999998,215595.625,215662.89,215737.61,215969.74,216047.14,216116.09,216193.3,216276.21000000002,216354.595,216437.83000000002,216516.08,216585.97500000003,216649.05000000002,216723.56,216799.945,216852.325,216926.85499999998,217006.48500000002,217087.305,217158.06,217224.575,218267.17,218332.865,218391.285,218465.89500000002,218541.49000000002,218617.66,218681.545,218754.52000000002,218832.395,218907.995,218985.04
7,605450612,0,0,0,0,0,214702.175,214757.52500000002,214809.13,214859.15999999997,214908.07,214956.40999999997,215004.41,215058.84000000003,215116.87,215163.195,215207.31,215340.46000000002,215390.65999999997,215450.27999999997,215503.53499999997,215556.28,215607.66999999998,215663.71000000002,215715.58000000002,215766.28499999997,215815.755,215815.86,215816.385,215816.63,215817.18,215817.44,215845.90000000002,215907.97,215966.43,216472.945,216514.95,216399.24,216451.19,216505.91999999998,216555.12,216606.47499999998,216655.925,216711.10499999998,216765.71499999997,216819.69
8,605451409,989579.87125,989579.87125,989579.87125,989579.87125,989579.95125,989579.95125,989579.95125,989579.95125,989579.95125,989580.03125,989580.03125,989580.03125,989580.03125,989580.03125,989580.111875,989580.111875,989580.111875,989580.191875,989580.191875,989580.191875,989580.191875,989580.1925,989580.1925,989580.1925,989580.2725,989580.2737499999,989580.2737499999,989580.2737499999,989580.2737499999,989580.2737499999,989580.3549999999,989580.35625,989580.35625,989580.35625,989580.5256249999,989580.605625,989580.606875,989580.606875,989580.606875,989580.6112500001,989580.6112500001,989580.6162500001,989580.69625,989580.69625,989580.696875
9,605452286,238751.25,238848.825,238937.39500000002,239019.06,239208.16499999998,239303.66,239390.41999999998,239482.0,239572.28500000003,239663.39,239762.16,239863.63999999998,239959.81999999998,240045.01499999998,240139.88499999998,240232.44499999998,240511.655,240607.61000000002,240693.71000000002,240784.53999999998,240875.46000000002,240967.15499999997,241054.555,241150.84500000003,241247.055,241333.9,241426.515,241527.47,241623.36500000002,241715.60000000003,241818.59,241918.13,242005.765,242096.74,243446.505,243514.0,243617.45500000002,243708.62,243805.745,243902.745,243988.96499999997,244089.755,244184.77,244284.48500000004,244404.505
10,605453063,294675.395,294734.605,294798.865,294856.08,294981.93,295046.365,295101.02999999997,295161.08,295233.95,295296.26,295356.95499999996,295427.05,295502.025,295562.045,295623.24,295683.755,295870.855,295934.62,295993.84500000003,296062.40499999997,296124.29000000004,296178.03500000003,296239.855,296304.67500000005,296365.065,296419.07,296482.45499999996,296545.315,296600.47,296665.44,296736.32999999996,296812.02,296872.08999999997,296933.375,297806.52,297862.73,297922.28500000003,297987.215,298054.505,298081.245,298141.91500000004,298166.115,298241.46,298304.195,298377.495
