,NIC,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-07,2022-06-13,2022-06-20,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-24
0,605442307,70926.52124999999,70936.67749999999,70947.1675,70957.79125000001,70973.29125,70990.43625,71000.59875,71015.52,71025.63125,71035.83125,71295.77875,71306.02875,71320.71375,71335.59875,71344.66249999999,71357.5575,71367.82625,71377.56999999999,71387.9675,71405.31,71428.25,71502.39499999999,71617.09125,71719.2675,71731.725,71747.1825,71761.78375,71780.46125,71800.74875,71823.6425,71843.95,71855.78,71866.20875,71876.85,72070.06375
1,605443194,84784.26125,84788.41625000001,84807.4825,84823.20624999999,84834.15125000001,84834.15875,84851.43375,84876.2425,84876.25,84876.255,84963.69,84988.645,85011.01000000001,85011.0175,85011.0225,85035.60500000001,85061.98375,85086.84,85110.855,85136.88999999998,85164.7475,85280.84874999999,85435.62625,85550.5775,85550.58374999999,85574.38875000001,85596.56624999999,85622.61875,85641.9225,85670.495,85670.50374999999,85670.51,85697.00624999999,85718.84875,86002.51499999998
2,605444971,96324.59625,96370.78,96410.34,96457.3025,96500.70625,96541.14125,96599.3125,96654.8,96708.3575,96753.14499999999,97695.22125,97741.0825,97787.1275,97825.1925,97864.295,97915.17125,97960.79125,98003.11875,98047.44375,98094.22375,98179.54250000001,98454.58875,98804.49125,99118.475,99160.425,99207.65625,99254.62625,99300.43875,99348.9625,99397.04375000001,99437.25375,99478.44625000001,99535.485,99586.71625,100281.875
3,605446435,59398.191875,59422.1275,59445.696875,59471.77875,59503.20375,59527.50750000001,59559.160625000004,59590.540625,59622.69125,59649.390625,60266.99125000001,60294.93375,60327.72624999999,60353.698124999995,60379.875625,60414.9275,60444.545,60472.02375000001,60500.529375,60528.675625,60585.709375000006,60771.546875,60994.805,61206.525625,61236.119999999995,61270.515,61302.823749999996,61336.673124999994,61372.933124999996,61404.464374999996,61432.244999999995,61458.44375,61488.91875,61521.85749999999,62000.8975
4,605451409,20.403750000000002,20.416875,20.43,20.44375,20.456875,20.471875,20.48625,20.5,20.51375,20.527500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,605452286,194927.835,194985.54,195046.6,195108.83000000002,195168.535,195228.345,195292.87,195352.69999999998,195414.085,195474.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,605453063,265007.82999999996,265016.665,265025.96,265035.54,265044.68,265048.16,265056.95999999996,265065.675,265074.625,265083.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,605454840,33.5275,33.5275,33.5275,33.5275,33.5275,33.5275,33.5275,33.5275,33.5275,33.528125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,605455527,284490.48,284610.15,284716.03500000003,284835.655,284966.685,285080.20999999996,285203.95,285330.93,285454.885,285563.51,288347.83499999996,288479.435,288614.95499999996,288729.97,288839.765,288971.715,289119.805,289244.68,289372.715,289446.21,0,0,0,291970.575,292089.60500000004,292230.07,292360.73,292495.7,292632.145,292764.355,292883.075,293000.14,293129.225,0,0
9,605456304,26435.793124999997,26435.798125,26435.803125,26435.808125000003,26435.814375,26435.819375,26435.824375,26435.83,26435.835,26435.84,26435.956874999996,26435.9625,26435.968125,26435.973124999997,26435.978125,26435.98375,26435.989999999998,26435.995,26436.000625,26436.004375,0,0,0,26436.115625,26436.12125,26436.1275,26436.133125,26436.13875,26436.146249999998,26436.1525,26436.1575,26436.163125,26436.16875,0,0
10,605457191,39087.550625,39090.870624999996,39093.404375,39096.283125,39099.39625,39102.60187499999,39106.59375,39109.795,39112.7225,39115.403125,39181.684375,39184.44625,39187.6525,39190.698124999995,39193.166874999995,39196.33625,39199.2525,39202.00875,39204.794375,39208.236875,0,0,0,39276.293750000004,39279.604375,39282.99625,39286.611875,39289.855,39293.21812500001,39296.356875,39299.250625,39302.531875,39306.02875,0,0
11,605458978,589348.99,589501.29,589636.25,589788.81,589938.69,590064.06,590220.0900000001,590391.3200000001,590577.21,590725.36,593968.79,594133.34,594303.6100000001,594452.72,594583.98,594732.5399999999,594883.66,595005.86,595143.05,595258.98,0,0,0,598266.83,598407.52,598607.15,598756.48,598904.4099999999,599045.98,599218.76,599388.13,599527.11,599703.85,0,0
12,605459755,188538.42750000002,188616.79750000002,188686.72499999998,188767.6225,188846.38499999998,188919.1775,188999.905,189081.2625,189160.5125,189229.9025,190823.8,190906.405,190984.94999999998,191056.66499999998,191122.03499999997,191194.54,191271.03749999998,191343.41499999998,191417.0425,191494.14500000002,0,0,0,192401.4925,192479.3175,192570.34,192659.09,192743.9775,192834.0925,192934.4125,193002.03,193077.34749999997,193151.19499999998,0,0
13,605460591,356615.7,356746.08,356875.81,357008.69,357138.31999999995,357255.94,357385.23,357515.27,357646.52,357766.31,360476.62,360613.37,360752.62,360869.35,360981.45999999996,361108.9,361242.19,361369.14,361499.16000000003,361635.18,0,0,0,364793.66000000003,364970.23,365196.23,365417.94,365653.48,365870.6,366111.18,366293.12,366473.0,366655.81,0,0
14,605461378,177457.905,177555.0,177663.675,177777.625,177904.065,178021.70500000002,178131.4,178251.455,178383.91,178505.885,181147.35499999998,181259.78999999998,181389.03000000003,181523.35,181655.345,181772.745,181894.74,182014.825,182135.72000000003,182255.96,0,0,0,184946.13999999998,185070.665,185206.49,185342.79,185465.575,185598.845,185739.74,185887.145,186032.11,186167.83999999997,0,0
15,605462155,7528.2075,7528.2075,7528.2075,7528.2075,7528.208125,7528.208125,7528.208125,7528.208125,7528.208125,7528.208125,7528.209999999999,7528.209999999999,7528.209999999999,7528.209999999999,7528.209999999999,7528.209999999999,7528.209999999999,7528.209999999999,7528.2212500000005,7528.244375,0,0,0,7528.713750000001,7528.731875,7528.75125,7528.7699999999995,7528.79,7528.81125,7528.833124999999,7528.85375,7528.87375,7528.8925,0,0
16,605463932,20238.79,20238.79,20238.79,20238.79,20238.790625,20238.790625,20238.790625,20238.790625,20238.790625,20238.790625,20258.21875,20260.54875,20261.770624999997,20261.770624999997,20262.504999999997,20263.841249999998,20265.572500000002,20267.455,20283.072500000002,20311.891875,0,0,0,21308.068124999998,21348.970625,21393.876875,21437.385625,21481.33,21528.54,21578.2225,21624.39375,21669.235,21712.167500000003,0,0
