,NIC,2022-07-24,2022-07-28,2022-07-30,2022-07-31,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05
0,605442307,72070.06375,72114.44875,72135.25749999999,72150.475,72166.90875,72177.1425,72187.27625,72198.29125,72208.41
1,605443194,86002.51499999998,86064.24750000001,86108.28874999999,86130.29625,86130.30374999999,86156.18625,86175.01625,86198.53625,86224.7825
2,605444971,100281.875,100432.8925,100512.43125,100558.965,100597.225,100642.05249999999,100683.805,100727.92375,100770.9625
3,605446435,62000.8975,62085.906875,62137.801250000004,62170.871875000004,62201.651875,62236.5675,62263.8125,62300.516875,62341.805
4,605455527,0,295999.23,296268.59,296414.41,296537.265,296678.67000000004,296798.43,296935.605,297073.245
5,605456304,0,26436.291250000002,26436.303125,26436.309375,26436.314375,26436.320625,26436.325625,26436.33125,26436.3375
6,605457191,0,39381.5975,39389.119375,39393.204375,39396.26,39400.25875,39403.529375,39407.0925,39410.70625
7,605458978,0,602683.7,602966.81,603108.2899999999,603231.4199999999,603362.49,603484.84,603622.85,603748.99
8,605459755,0,194882.2375,195034.075,195115.52999999997,195194.83250000002,195270.24,195339.08750000002,195422.255,195498.49750000003
9,605460591,0,370791.89,371152.45,371348.39,371529.83,371707.93,371873.62,372063.98,372236.68
10,605461378,0,189122.805,189373.3,189521.45,189670.61000000002,189814.41,189954.93,190098.675,190238.58000000002
11,605462155,0,7529.384375000001,7529.433125,7529.460625,7529.483125,7529.508125,7529.5287499999995,7529.551874999999,7529.575
12,605463932,0,22762.955625,22863.789375,22920.59375,22968.567499999997,23021.2875,23063.62875,23114.91375,23164.905625
13,605464719,0,975668.52,975950.3600000001,976108.4400000001,976266.28,976433.5,976592.46,976759.28,976926.46
14,606562771,116120.34,116120.565,116120.72750000001,116120.80750000001,116120.885,116120.9475,116121.015,116121.07249999998,116121.1325
15,606563558,46272.818125000005,46426.635625,46496.949375000004,46541.58625,46589.08125,46628.273125,46665.295,46705.093125,46739.026249999995
16,606564335,172898.323125,173719.416875,174187.15750000003,174429.10874999998,174661.98,174885.466875,175094.88437500002,175291.40187499998,175499.15812500002
17,606565012,14675.175625,14675.683125,14675.943749999999,14676.085000000001,14676.2125,14676.341875,14676.465625,14676.59,14676.714375
18,606566809,250556.01,250772.63499999998,250872.745,250951.025,251009.365,251078.745,251133.83500000002,251201.945,251268.21499999997
19,606567686,449652.63,450277.21,450607.91,450782.29,450929.9,451098.06999999995,451253.1,451419.53,451580.6
20,606568463,99794.03,99794.15875,99794.21625,99794.26125000001,99794.29875,99794.3375,99794.36875,99794.40625,99794.4425
21,606569240,52734.41,52795.386875,52829.896250000005,52850.135,52865.793750000004,52886.979374999995,52901.713124999995,52920.3075,52937.03624999999
22,606570086,117622.89687499999,117692.990625,117729.66187499999,117751.903125,117770.073125,117790.10562500001,117809.475625,117834.588125,117845.470625
23,606571863,280167.895,280399.87,280524.675,280589.435,280655.495,280720.435,280780.22000000003,280843.275,280903.28
24,606572640,4638.3481249999995,4642.529375,4644.00125,4644.941250000001,4646.009999999999,4646.0125,4646.014375000001,4646.015625000001,4646.01875
25,606573427,67549.29125,67603.62125,67631.6775,67671.84875,67710.325,67733.29875,67739.93125000001,67761.32375,67774.885
26,606574204,199605.46,199827.975,199959.26499999998,200031.46999999997,200088.13999999998,200166.05,200222.96,200286.365,200348.1
27,606575991,81563.8325,81631.3825,81665.285,81686.07375000001,81710.34125,81736.2025,81752.34874999999,81779.24625,81795.71625
28,606576778,115318.2275,115497.52249999999,115590.26999999999,115644.04999999999,115691.35,115737.29250000001,115778.71250000001,115832.19,115879.2575
29,606577555,48861.611249999994,48923.819375,48946.541249999995,48964.18125,48982.266875,49001.339374999996,49008.069375,49018.70374999999,49036.660625
30,606578332,15.765625,15.790000000000001,15.80125,15.807500000000001,15.816875,15.82625,15.831249999999999,15.84,15.845
31,606579119,160939.1575,161111.2475,161191.175,161233.935,161279.97749999998,161325.815,161371.9675,161416.1725,161462.43
32,606580955,1753.155,1753.155,1753.1568750000001,1753.1568750000001,1753.1568750000001,1753.1568750000001,1753.1568750000001,1753.1568750000001,1753.1568750000001
33,606581732,331265.2,331456.04000000004,331564.55,331625.79,331677.08999999997,331729.81999999995,331763.83999999997,331817.81,331888.49
34,606582519,150103.48500000002,150210.015,150276.285,150298.41999999998,150333.195,150350.915,150385.225,150428.865,150450.005
35,606583306,63950.72625000001,64068.99124999999,64136.13875,64176.4025,64206.167499999996,64238.763750000006,64267.7825,64300.12125,64332.37875
36,606584183,374984.860625,375482.87875000003,375757.305,375887.42375,375985.75625000003,376119.925,376247.58625000005,376385.17687499995,376515.741875
37,606585860,37.63125,37.651875,37.66625,37.673125,37.677499999999995,37.684374999999996,37.689375,37.69625,37.7025
38,606586647,70.760625,70.848125,70.896875,70.923125,70.94187500000001,70.96625,70.9875,71.011875,71.035
39,606587424,30954.515625,30954.516875,30954.518750000003,30954.518750000003,30954.518750000003,30954.520000000004,30954.520000000004,30954.520000000004,30954.520000000004
40,606588201,6731.65375,6731.65375,6731.654375,6731.654375,6731.654375,6731.654375,6731.654375,6731.654375,6731.654375
41,606589098,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725,74034.6725
42,606590824,0,0,0,0,0,0,0,0,0
43,606591601,32.4625,32.4925,32.506875,32.515,32.523125,32.53125,32.53875,32.54625,32.554375
44,606592498,10.228125,10.258125,10.27375,10.282499999999999,10.2925,10.300625,10.307500000000001,10.315625,10.323125000000001
45,606593275,468384.28,468912.74,469203.5,469449.18,469661.77,469765.76,469883.12,470003.35,470166.2
46,606594052,60038.29625,60110.22125,60149.16,60171.97,60195.07000000001,60211.9025,60228.738750000004,60244.90875,60261.09375
47,606597303,271502.66,271640.125,271716.21499999997,271755.78,271788.08,271827.83499999996,271863.78500000003,271901.47000000003,271938.985
48,INTMT_2818,0,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42,684354.42
