,NIC,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09
0,605442307,73178.85875,73190.64125,73200.37749999999,73212.265,73223.1325,73233.9275,73251.1625,73267.36374999999,73281.4525,73296.99625,73310.22625,73324.125,73335.02625,73346.55875000001,73357.95999999999,73371.665,73382.83249999999,73393.995
1,605443194,87584.07125,87584.0775,87605.32125,87626.4075,87643.89125000002,87663.68875,87681.99875,87682.00499999999,87682.01125,87704.60625000001,87724.99625,87744.4175,87765.065,87781.91375,87795.43125000001,87795.4375,87795.44375,87816.71875
2,605444971,104275.3,104315.74875,104359.88625000001,104415.255,104476.87125,104518.98125000001,104561.78125,104604.22,104642.2475,104684.89624999999,104729.91375,104782.85,104824.28625,104867.8725,104911.73749999999,104949.97125,104989.4225,105037.73000000001
3,605446435,64200.8225,64228.841875,64261.880000000005,64292.52312500001,64313.89,64341.53687499999,64372.246250000004,64399.13625,64425.274375,64457.05437500001,64487.00875,64510.879375000004,64539.869375,64566.409374999996,64595.308124999996,64621.995,64651.626875,64683.935625
4,605447212,68596.870625,68611.55750000001,68626.184375,68639.65250000001,68652.419375,68667.37125,68680.998125,68694.98625,68709.27437500001,68723.359375,68736.7675,68751.810625,68767.856875,68780.70499999999,68794.06875,68805.89875,68818.210625,68832.17624999999
5,605448009,30606.378750000003,30615.42375,30623.14125,30631.346875000003,30638.136875000004,30646.786875,30652.934375000004,30659.391875,30667.886875000004,30677.254375000004,30686.041875000003,30694.234375000004,30703.971875000003,30712.091875000002,30718.349375,30724.169375,30731.739375,30740.306875000002
6,605449886,164172.095,164220.88,164269.71000000002,164301.1,164343.59,164390.65999999997,164440.185,164492.47499999998,164545.815,164598.935,164651.525,164697.07,164744.655,164795.155,164845.84999999998,164895.35499999998,164944.905,164993.28
7,605450612,217822.425,217858.595,217899.435,217946.44,217977.93,218014.365,218047.94,218091.57,218134.58000000002,218176.42,218223.16999999998,218260.425,218300.82,218344.77,218385.955,218425.31,218465.05,218512.14
8,605451409,19.28875,19.296875,19.30125,989533.409375,989533.415,989533.4187500001,989533.4231250001,989533.4275000001,989533.43125,989533.435625,989533.4400000001,989533.4443750001,989533.4481250001,989533.4531250001,989533.4575000001,989533.46125,989533.4650000001,989533.4675
9,605452286,195676.7,195739.6,195803.72,195863.09000000003,195929.425,195989.16,196056.555,196125.095,196187.425,196260.35,196329.77000000002,196400.96999999997,196461.46000000002,196534.155,196600.18,196661.08000000002,196722.86,196787.315
10,605453063,265124.305,265139.01,265148.79,265162.365,265176.435,265186.155,265196.76,265207.185,265216.49,265225.81,265235.72000000003,265246.63,265256.605,265266.73,265276.71,265285.69,265294.27499999997,265330.57
