,NIC,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-19,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-26,2022-11-27,2022-11-28,2022-11-29,2022-11-30,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-20,2022-12-21,2022-12-22,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-02-08
0,605442307,73393.995,73405.66375,73416.4325,73432.66625000001,73446.2425,73463.655,73478.38124999999,73492.0375,73507.96125000001,73524.91875,73544.44625,73563.69625,73580.635,73594.1,73606.5875,73658.20625,73681.1175,73699.78625,73717.07625,73731.68500000001,73752.13625,73769.56375,73788.38,73813.6425,73942.45749999999,73971.72625,74000.4425,74023.82500000001,74045.6725,74070.6875,74100.07625,74127.485,74161.32625,74214.35375000001,74242.325,74274.74375,74587.0325,74602.30875,74618.0125,74639.62375,74659.80125,74675.6125,74696.05249999999,74711.08125,74717.83375,74735.19875,74748.065,74767.03624999999,74780.7325,74798.50875,74809.19875,74821.675,74834.65375000001,74857.875,74869.395,74879.07125,74889.21125,74905.94625,75104.1425
1,605443194,87816.71875,87837.565,87859.69125,87883.81999999999,87902.65125000001,87902.65875,87902.66500000001,87926.265,87949.8775,87974.64749999999,87997.565,88021.84125,88021.84875,88045.74124999999,88056.67874999999,88088.10750000001,88099.30375,88099.31375,88111.18749999999,88122.36875,88132.0575,88142.44999999998,88153.6825,88164.2975,88207.35250000001,88218.4625,88218.47374999999,88229.5425,88239.7475,88251.08375,88262.39,88273.48,88283.355,88294.23999999999,88305.38375000001,88316.34625000002,88415.99125,88426.11625,88435.8125,88445.10375,88456.18,88463.69,88463.69625,88467.23375,88474.42624999999,88484.62125,88493.57375,88503.56625,88503.5725,88503.58,88514.64499999999,88523.6225,88534.31375,88553.09125,88562.8425,88562.84749999999,88573.55750000001,88583.85125,88712.82375
2,605444971,105037.73000000001,105082.77875,105129.54000000001,105172.67125,105219.9675,105262.68125,105300.43875,105343.59375,105384.38125,105429.33374999999,105471.87875,105514.48999999999,105553.21125,105595.295,105633.80249999999,105783.39875000001,105836.93,105881.70749999999,105930.545,105976.77375,106017.09375,106060.96375,106111.18125,106156.555,106409.20125,106452.53,106498.21625,106538.5125,106583.19375,106627.54000000001,106670.28,106719.78875,106760.2825,106862.1825,106920.83625,106977.89624999999,107527.095,107566.47875000001,107617.62125,107663.21375,107704.48250000001,107738.47875000001,107770.06625,107807.7175,107829.705,107866.1525,107902.00375,107940.12125,107976.91,108008.89499999999,108045.9125,108080.77249999999,108125.94750000001,108199.31,108237.08625,108271.17624999999,108309.62,108353.27625,108954.455
3,605446435,64683.935625,64712.917499999996,64737.853749999995,64770.777500000004,64805.006250000006,64833.108125,64860.245624999996,64894.04,64923.934375,64957.750625,64991.861249999994,65025.372500000005,65054.255,65095.771875,65127.615000000005,65219.769375,65255.4,65284.541875,65315.775625,65348.619374999995,65378.70375,65412.442500000005,65441.115,65472.333125000005,65645.47625,65675.76500000001,65707.05374999999,65735.658125,65753.016875,65770.16500000001,65785.845625,65818.18375,65836.24625,65868.80124999999,65886.034375,65904.643125,66087.764375,66103.2,66117.92562499999,66135.0125,66155.071875,66164.515,66175.35375,66191.48874999999,66200.903125,66217.515,66233.5,66250.869375,66265.0325,66278.748125,66293.96625,66309.30437499999,66324.941875,66354.028125,66371.235625,66384.636875,66401.114375,66419.8,66833.37
4,605447212,68832.17624999999,68845.455625,68862.43625,68878.66625000001,68896.395625,68915.31125,68936.40437500001,68952.90062500001,68967.93250000001,68984.88375,68999.956875,69013.78375,69024.814375,69039.13437500001,69054.68125,0,0,69135.50499999999,69150.913125,69165.74875,69182.46,69200.846875,69216.851875,69233.73,69325.62875,69342.03749999999,69356.42812499999,69372.9275,69389.113125,69405.20937499999,69422.266875,69436.19312499999,69450.050625,69480.278125,69493.596875,69516.64125,69752.705,69769.13500000001,69781.150625,69793.408125,69807.764375,69829.355,69847.733125,69863.599375,69872.624375,69894.87750000002,69916.7325,69937.32625,69954.798125,69969.999375,69986.029375,70006.944375,70031.48,70072.21125,70090.028125,70104.09375,70120.294375,70137.129375,70364.75125
5,605448009,30740.306875000002,30748.761875000004,30759.776875000003,30770.074375000004,30782.334375000002,30795.024375,30809.244375000002,30820.581875000003,30830.831875000003,30840.581875000003,30848.134375,30856.934375000004,30863.781875000004,30873.094375000004,30884.731875,0,0,30934.563125,30942.258125,30951.493125,30961.263125,30972.473125,30979.468125,30988.833125,31036.353125,31043.575625,31051.808125,31060.758125,31069.173125,31078.530625,31086.123125000002,31091.843125,31097.615625,31111.955625,31117.348125,31131.815625,31273.474375,31282.451875000002,31287.801875,31293.224375,31299.931875000002,31312.769375,31323.731875,31332.576875000002,31337.049375000002,31349.651875,31363.246875,31374.989375,31384.489375,31392.989375,31401.539375,31414.084375000002,31427.779375000002,31448.111875000002,31456.881875000003,31463.271875000002,31471.091875000002,31479.274375,31586.999375000003
6,605449886,164993.28,165036.905,165082.58000000002,165129.905,165180.805,165233.115,165284.87,165332.405,165380.68,165402.575,165435.58500000002,165489.42500000002,165539.5,165584.445,165628.585,0,0,165678.56,165725.66,165767.805,165810.8,165855.54499999998,165904.135,165956.90000000002,166230.51,166276.575,166325.615,166365.52000000002,166406.025,166448.33000000002,166493.87,166543.97,166597.37,166697.045,166748.8,166805.15,167401.01,167446.13499999998,167492.74,167541.09,167589.88,167634.33000000002,167676.12,167719.265,167742.97999999998,167784.12,167826.105,167869.915,167912.15500000003,167953.775,167998.48,168040.29,168082.685,168165.95,168208.375,168252.055,168291.71,168336.74,169076.155
7,605450612,218512.14,218547.66999999998,218587.88,218628.29499999998,218670.76,218714.45500000002,218756.31,218796.06,218836.825,218888.375,218944.71000000002,218994.07999999996,219043.755,219087.65,219130.21500000003,0,0,219357.125,219403.785,219442.155,219481.22999999998,219522.615,219570.55,219620.78999999998,219872.95,219917.61,219966.72499999998,220007.27500000002,220042.29499999998,220079.52500000002,220122.575,220171.915,220225.34999999998,220323.65999999997,220374.82,220436.72499999998,221040.67,221081.96,221125.155,221172.825,221220.49,221259.02000000002,221291.94,221327.61,221348.735,221384.02500000002,221421.16,221461.195,221496.475,221530.4,221572.725,221609.39500000002,221648.625,221724.44,221762.41499999998,221795.93000000002,221822.15500000003,221854.73000000004,222352.52
8,605451409,989533.4675,989533.5475,989533.54875,989533.553125,989533.553125,989533.553125,989533.6331249999,989533.6337499999,989533.6337499999,989533.6337499999,989533.71375,989533.71375,989533.7143750001,989533.7143750001,989533.719375,0,0,989533.809375,989533.810625,989533.890625,989533.890625,989533.890625,989533.89125,989533.9712500001,989533.990625,989533.99625,989534.0762499999,989534.0762499999,989534.0762499999,989534.0762499999,989534.15625,989534.160625,989534.160625,989534.169375,989534.169375,989534.249375,989534.425625,989534.425625,989534.426875,989534.433125,989534.43625,989534.516875,989534.518125,989534.518125,989534.518125,989534.5981249999,989534.5981249999,989534.5981249999,989534.5981249999,989534.678125,989534.678125,989534.67875,989534.679375,989534.7593749999,989534.7599999999,989534.7599999999,989534.76125,989534.8425,989535.015
9,605452286,196787.315,196858.625,196936.12,197007.52000000002,197072.25,197135.275,197194.515,197256.27,197323.805,197387.22999999998,197457.155,197532.075,197600.945,197670.27000000002,197743.89500000002,0,0,198116.555,198199.325,198266.7,198331.195,198392.45,198465.22,198533.245,198950.885,199032.965,199103.785,199168.325,199228.57,199288.885,199356.515,199423.37,199493.435,199630.70500000002,199698.825,199773.555,200596.7,200667.605,200734.335,200813.03499999997,200884.995,200944.5,201001.665,201067.19,201106.97,201170.8,201231.12,201294.935,201357.06,201419.735,201487.41999999998,201547.3,201615.955,201746.725,201818.02999999997,201884.41999999998,201953.53999999998,202027.34500000003,202901.305
