,NIC,2023-02-08,2023-02-17,2023-02-18,2023-02-19,2023-02-19,2023-02-19,2023-02-19,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-24,2023-03-25,2023-03-26,2023-03-27
0,605442307,75104.1425,75269.53,75269.615,75282.82375,75284.2975,75288.17125000001,0,75291.475,75291.6525,75301.02500000001,75314.92125,75325.31875,75341.03875,75345.31125,75351.7375,75367.0225,75387.5925,75400.50749999999,75409.8325,75426.4975,75445.70999999999,75445.94125,75465.725,75487.81125,75507.0325,75518.58,75527.66375,75545.50624999999,75554.59874999999,75647.63500000001,75659.1475,75671.41,75681.13,75698.00375,75725.94375,75736.87,75751.405,75766.41750000001
1,605443194,88712.82375,88805.66875000001,88805.66875000001,88805.84625,88805.84625,88805.85,0,88805.8525,88805.8525,88805.85875,88805.86875,88815.5875,88826.90375,88829.71625000001,88836.65125,88846.84249999998,88846.85124999999,88856.9825,88866.87375,88876.67749999999,88886.89875000001,88886.89875000001,88897.505,88907.6075,88907.615,88917.13500000001,88926.26125000001,88936.10125,88945.0475,89008.64875000001,89017.14125,89017.1425,89017.145,89026.7675,89044.98749999999,89054.02625,89061.77625,89061.77875
2,605444971,108954.455,109391.7625,109391.9025,109432.51250000001,109438.79375,109455.2125,0,109468.245,109468.445,109508.50625,109549.115,109583.44875000001,109627.99875,109642.63875000001,109672.2825,109716.76625,109754.15,109796.98999999999,109841.47,109881.86875,109924.55,109924.79000000001,109968.40875,110013.8725,110049.16875,110097.755,110147.72875000001,110197.29000000001,110237.61125,110559.5075,110603.2175,110640.545,110679.42374999999,110725.2825,110810.05875,110850.64375,110894.0575,110931.13625000001
3,605446435,66833.37,67191.018125,67191.24312500001,67224.26625,67228.15875,67241.58875,0,67252.2625,67252.738125,67288.010625,67321.99062499999,67353.329375,67388.1725,67402.469375,67424.55,67459.809375,67488.651875,67510.90375,67519.85625,67529.565,67538.356875,67538.9875,67548.01625,67561.52875,67588.9325,67613.700625,67629.193125,67638.523125,67647.5575,67727.28125,67736.375625,67744.04062500001,67751.30125,67760.598125,67778.908125,67789.54062500001,67799.88062499999,67808.85625
4,605447212,70364.75125,70543.850625,70543.958125,70560.555625,70562.884375,70568.77687500001,0,70575.88375000001,70576.11062500002,70593.45874999999,70609.26187500001,70625.41750000001,70645.079375,70651.46375,70665.06062500001,70683.780625,70700.36,70719.871875,70739.93187500001,70758.565,70776.328125,70776.624375,70795.479375,70816.29250000001,70833.32812499999,70854.84375,70869.564375,70887.875625,70906.295,71023.305625,71037.00625,71049.755625,71062.81250000001,71077.628125,71112.143125,71127.19374999999,71142.5,71153.900625
5,605448009,31586.999375000003,31684.7425,31684.7425,31692.845,31693.77,31696.8025,0,31701.3875,31701.405000000002,31710.757500000003,31718.558125000003,31726.053125000002,31737.455625000002,31740.828125000004,31749.493125,31760.980625000004,31770.958125,31783.223125000004,31795.763125,31807.313125000004,31816.710625000003,31816.710625000003,31827.783125,31842.173125,31852.678125000002,31866.676250000004,31873.258750000005,31884.14,31895.415,31961.41,31967.148125,31974.343125,31981.658750000002,31989.364375,32011.190000000002,32019.4975,32028.100000000002,32034.097500000003
6,605449886,169076.155,169615.175,169617.13,169670.12,169687.07,169702.405,0,169718.235,169722.78,169780.83500000002,169671.615,169716.055,169765.91999999998,169790.61000000002,169823.09,169884.825,169945.485,170003.35,170065.95500000002,170124.485,170177.53,170181.32,170234.41,170301.59999999998,170359.605,165173.415,165205.03,165259.31,165303.925,165668.11,165718.485,165766.865,165650.55,165682.13999999998,165779.535,165825.82,165873.465,165920.1
7,605450612,222352.52,222753.40999999997,222753.45999999996,222790.635,222796.44,222810.42,0,222821.12,222821.26,222859.005,222894.525,222923.03500000003,222952.675,222970.19,222994.87,223037.88,223072.38,223108.98,223152.8,223192.005,223233.015,223233.16499999998,223275.47499999998,223321.03000000003,223356.65,223396.95,223428.80000000002,223466.97499999998,223495.185,223812.43,223859.28,223900.45500000002,223939.965,223989.89500000002,224082.19,224124.97499999998,224167.105,224206.04499999998
8,605451409,989535.015,989535.191875,989535.191875,989535.191875,989535.191875,989535.271875,0,989535.271875,989535.271875,989535.271875,989535.2725,989535.2731250001,989535.3537500001,989535.3537500001,989535.3537500001,989535.3537500001,989535.4337500001,989535.4337500001,989535.4343750001,989535.4343750001,989535.514375,989535.514375,989535.514375,989535.514375,989535.514375,989535.5956250001,989535.5962500001,989535.598125,989535.601875,989535.77,989535.7649999999,989535.7649999999,989535.7662499999,989535.7699999999,989535.853125,989535.8568749999,989535.8568749999,989535.86
9,605452286,202901.305,203562.815,203563.94,203628.23500000002,203641.84000000003,203662.315,0,203685.08000000002,203687.445,203748.03499999997,203812.62,203874.345,203934.88,203956.875,203998.33500000002,204062.525,204118.93,204181.435,204254.93,204323.32499999998,204386.81,204390.40000000002,204456.09499999997,204519.58500000002,204577.39,204635.925,204693.87999999998,204755.23,204815.19,205317.95,205381.575,205438.60499999998,205495.3,205556.525,205678.84,205740.615,205804.635,205858.87
