,NIC,2023-06-30,2023-07-01,2023-07-02
0,605442307,77448.21375,77466.23625,77488.2325
1,605443194,89650.73624999999,89659.3775,89668.93625000001
2,605444971,114989.42249999999,115035.77875,115083.57375000001
3,605446435,69866.541875,69891.04875,69914.92
4,605451409,989537.368125,989537.368125,0
5,605452286,211743.54499999998,211767.74500000002,0
6,605453063,275993.185,276062.30500000005,0
7,605454840,35.61875,35.633125,0
8,605455527,332270.82999999996,332301.37,332400.96
9,605456304,26437.885000000002,26437.8875,26437.891875
10,605457191,40308.076875,40309.62,40311.26125
11,605462155,12807.030625,12828.875625,12856.364375000001
12,605463932,38065.863750000004,38110.41625,38157.02375
13,605464719,28394.859375,28569.993749999998,28785.637499999997
14,606562771,116148.715,116148.79500000001,116148.8775
15,606563558,59038.12375,59080.825,59125.7075
16,606564335,264931.805,265197.04000000004,265460.605
17,606565012,14720.899375,14721.040625,14721.182499999999
18,606566809,266903.49,266913.615,266924.04500000004
19,606567686,504146.29,504324.55,504501.13
20,606568463,107524.17749999999,107642.9175,107760.2075
21,606569240,58321.0775,58340.95875,58368.08
22,606570086,125447.646875,125470.77875,125505.534375
23,606571863,287127.745,287127.75,287127.75
24,606572640,5267.52125,5270.577499999999,5273.656875
25,606573427,74442.13,74472.88375000001,74507.15000000001
26,606574204,222692.075,222776.235,222854.96
27,606575991,88830.735,88859.0125,88887.3275
28,606576778,131134.5625,131185.42,131233.9925
29,606577555,52804.651249999995,52817.453125,52827.770625
30,606578332,17.975625,17.984375,17.99125
31,606579119,175258.4725,175301.57749999998,175346.125
32,606580955,1753.2093750000001,1753.2093750000001,1753.2093750000001
33,606581732,352235.55,352322.52,352381.8
34,606582519,162443.335,162497.145,162546.195
35,606583306,73940.82875,0,74005.2175
36,606584183,419039.18374999997,0,419351.3675
37,606585860,39.573750000000004,0,39.584375
38,606586647,77.514375,0,77.56125
39,606591601,35.024375,35.0325,35.040625
40,606592498,12.218125,12.224375,12.229375
41,606593275,519334.43,519502.02,519662.81
42,606594052,66597.58875,66621.405,66644.695
43,606597303,282524.955,282555.12,282584.26
44,INTMT_2818,29485.40625,33848.71875,38301.75
