,NIC,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,2023-11-01,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-15
0,605442307,79293.1975,79310.67749999999,79330.74625,79345.26875,79362.98999999999,79386.285,79402.88,79422.1525,79440.87625,79461.6875,79482.98,79503.265,79522.13375,79539.9025,79557.66625000001,79576.23874999999,79596.8275,79616.61499999999,79636.05249999999,79677.8725,79698.1075,79717.4725,79739.71375,79755.84125,79771.7975,79792.8,79814.06625,79828.94625000001,79846.13625,79864.06875,79877.71375,79891.56625,79908.06,80095.29000000001,80114.5875,80135.95625,80155.04500000001,80181.20625,80204.275,80225.065,80245.5075,80262.90625,80277.8675,80298.38625,80318.3725,80340.53,80361.77625,80382.765,80403.96125,80424.70125,80448.455,80471.72875,80486.48375,80508.105,80536.59875,80567.25749999999,80891.37875
1,605443194,90346.47,90356.55124999999,90365.89875,90365.9125,90375.2125,90384.00125,90393.10875,90401.73874999999,90410.5925,90418.95750000002,90418.975,90427.4225,90437.03874999999,90445.84000000001,90454.79999999999,90465.2975,90474.9175,90474.93375,90474.94999999998,90488.79,90493.96375000001,90496.18000000001,90498.16125,90498.17625,90499.85375000001,90512.94625000001,90515.8625,90515.8775,90515.89375,90515.91,90515.9225,90517.54999999999,90517.61,90517.7725,90517.7875,90517.8025,90517.82,90517.83875,90517.85875,90517.88,90517.89625,90517.91125,90517.9275,90517.945,90517.96625,90517.9825,90518.0025,90518.02124999999,90518.03874999999,90518.05625,90518.07375,90518.09,90518.105,90518.12375,90518.1425,90518.16,90518.3875
2,605444971,118254.405,118318.88375000001,118386.14749999999,118441.73500000002,118525.18,118605.045,118690.4575,118769.31375,118860.4675,118942.28875,119012.06125,119105.96125,119185.35,119263.2225,119346.53,119431.07375000001,119512.08625000001,119579.34625,119651.3,119823.01375000001,119900.36875,119971.985,120050.41125,120119.095,120197.465,120272.14249999999,120349.2775,120413.24875,120485.13625000001,120554.58625000001,120615.16375,120677.465,120736.05,121405.48625,121470.99375,121538.19374999999,121612.13500000001,121690.0325,121765.36624999999,121844.945,121918.875,121983.89875,122062.6225,122140.80875,122214.05125,122289.05625,122377.92874999999,122463.595,122538.23374999998,122611.31999999999,122685.195,122748.5625,122817.46625,122891.13125,122963.91500000001,123028.60250000001,123968.20999999999
3,605446435,71600.02625000001,71612.303125,71642.309375,71654.369375,71681.42937499999,71705.778125,71730.406875,71753.83625,71780.328125,71804.50125,71826.22125,71851.3825,71878.954375,71906.03,71932.11750000001,71958.843125,71982.079375,72002.035,72022.76125,72078.78937500001,72118.541875,72149.390625,72159.78875,72167.4825,72178.048125,72190.920625,72212.11812500001,72221.403125,72231.2625,72239.843125,72248.64749999999,72257.410625,72266.509375,72463.758125,72481.4275,72499.718125,72520.7675,72542.20125,72562.74,72584.3,72602.34625,72619.539375,72638.38249999999,72658.78875,72679.90875,72699.845,72723.48000000001,72751.20999999999,72779.121875,72801.881875,72824.36624999999,72846.074375,72870.36,72896.71312500001,72918.82187500001,72938.49250000001,73205.420625
4,605451409,989578.279375,989578.28,989578.280625,989578.2825,989578.2825,989578.289375,989578.29,989578.290625,989578.29125,989578.291875,989578.2925,989578.2937500001,989578.294375,989578.295625,989578.37625,989578.376875,989578.3775,989578.3787499999,989578.379375,989578.3943749999,989578.395,989578.395625,989578.403125,989578.4037499999,989578.405625,989578.40625,989578.4075,989578.48875,989578.49,989578.490625,989578.49125,989578.4918750001,989578.4925,989578.588125,989578.58875,989578.589375,989578.5900000001,989578.67,989578.671875,0,989578.67375,989578.674375,989578.674375,989578.6749999999,989578.6818749999,989578.6825,989578.68375,989578.6918749999,989578.6924999999,989578.699375,989578.70375,989578.784375,989578.785,989578.785625,989578.785625,989578.7875,989578.86875
5,605452286,218143.355,218250.51,218354.755,218468.83500000002,218575.165,218679.06,218780.38,218881.53000000003,218988.15499999997,219092.605,219191.10499999998,219304.39,219401.875,219506.09000000003,219614.04499999998,219721.33999999997,219827.18,219926.105,220023.97,220230.565,220331.555,220439.66999999998,220545.59499999997,220641.735,220743.435,220850.15,220961.69,221068.9,221175.365,221282.11,221375.28,221477.85499999998,221581.03000000003,222743.33,222840.58000000002,222937.11,223042.695,223134.15000000002,223240.395,0,223459.27500000002,223555.785,223668.87,223772.68,223883.2,223985.99,224101.525,224221.05000000002,224333.12,224442.395,224551.125,224656.27500000002,224769.22999999998,224879.52500000002,224993.685,225092.81,226271.435
6,605453063,281715.515,281788.235,281862.89,281923.44999999995,282001.995,282011.135,282080.795,282145.735,282212.125,282283.845,282349.21,282424.5,282491.73,282560.54,282643.58,282712.69,282784.73,282844.08999999997,282906.05000000005,282927.225,282995.33999999997,283062.83499999996,283072.06,283134.815,283203.955,283275.755,283339.63,283400.63,283463.195,283536.07999999996,283593.24,283662.88,283724.32999999996,284386.92,284444.695,284506.65,284575.51,284642.015,284710.075,0,284842.93,284902.255,284971.51,285035.94499999995,285048.6,285115.175,285186.4,285197.555,285268.08,285278.71499999997,285315.46499999997,285385.005,285464.305,285531.86,285607.755,285666.59500000003,286497.65
7,605454840,36.863125,36.880625,36.89875,36.913125,36.931875,36.9325,36.948750000000004,36.964375000000004,36.980000000000004,36.996874999999996,37.0125,37.03,37.04625,37.0625,37.0825,37.099374999999995,37.116249999999994,37.129999999999995,37.144999999999996,37.14625,37.161875,37.177499999999995,37.178124999999994,37.193124999999995,37.20875,37.225625,37.239999999999995,37.254375,37.268125,37.285,37.298125,37.314375,37.32875,37.48125,37.495,37.51,37.525625000000005,37.541875,37.5575,0,37.59,37.604375000000005,37.620625000000004,37.635625000000005,37.6375,37.65375,37.67,37.670625,37.6875,37.688125,37.695625,37.711875,37.730625,37.74625,37.76375,37.776875000000004,37.974375
8,605455527,341338.18000000005,341477.97,341565.875,341639.6,341748.595,341825.935,341902.605,341955.16000000003,342071.70999999996,342218.97,342343.26,342480.115,342610.32,342733.025,342884.865,343038.785,343184.02,343304.065,343429.23,343702.52999999997,343844.15499999997,343945.445,344082.87,344211.27999999997,344342.095,344477.615,344633.73,344760.71499999997,344898.35500000004,345041.44,345158.43,345281.62,345400.815,346401.64499999996,346466.83499999996,346534.77999999997,346606.745,346681.45999999996,346763.42,346844.205,346922.96,346991.33,347066.16000000003,347145.98,347216.16000000003,347295.17,347375.3350000001,347464.06,347574.26499999996,347712.33499999996,347840.57,347964.78,348095.98500000004,348238.83499999996,348385.625,348518.535,349948.94
9,605456304,26438.30625,26438.313125,26438.3175,26438.32125,26438.32625,26438.33,26438.333749999998,26438.33625,26438.341875,26438.348125,26438.353750000002,26438.36,26438.366875,26438.372499999998,26438.379374999997,26438.38625,26438.3925,26438.398125,26438.404375,26438.416875,26438.423125,26438.428125,26438.434374999997,26438.440000000002,26438.44625,26438.4525,26438.459375,26438.465625,26438.471875000003,26438.478125,26438.48375,26438.489375,26438.495000000003,26438.544374999998,26438.5475,26438.551874999997,26438.555,26438.55875,26438.563125,26438.567499999997,26438.5725,26438.575624999998,26438.579375,26438.583124999997,26438.58625,26438.589999999997,26438.59375,26438.598125,26438.603125,26438.609375,26438.615625,26438.621249999997,26438.6275,26438.63375,26438.64,26438.646249999998,26438.711875
